t=2024-11-12T14:52:53-0700 lvl=info msg="open config file" path=/home/student/Desktop/Advanced-Netman/ngrok_config.yml err=nil
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=99da7eaa6a30 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=81f7a58db7f1 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=1b7d8b13804c l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:14-0700 lvl=info msg="join connections" obj=join id=6375f964ce42 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:15-0700 lvl=info msg="join connections" obj=join id=3f3e22dbf8b9 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=ffb3d04468ee l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=3fb85b273807 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=2de4bac219d6 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=07010ec38a78 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=471d68a75f09 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=ab19df307b4d l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=ff7ef55ff042 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=d94a303e9489 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:16:25-0700 lvl=info msg="join connections" obj=join id=e2c9c4004e15 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:25-0700 lvl=info msg="join connections" obj=join id=8e94d3122a39 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:29-0700 lvl=info msg="join connections" obj=join id=5444741f388c l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:29-0700 lvl=info msg="join connections" obj=join id=37d13d479a80 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:29-0700 lvl=info msg="join connections" obj=join id=5010317a1635 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:29-0700 lvl=info msg="join connections" obj=join id=7a3c22af4921 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:29-0700 lvl=info msg="join connections" obj=join id=69f40eb091c0 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:29-0700 lvl=info msg="join connections" obj=join id=2a6079e3d1df l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:33-0700 lvl=info msg="join connections" obj=join id=21cec2954cfd l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:33-0700 lvl=info msg="join connections" obj=join id=1bc68d45de62 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:33-0700 lvl=info msg="join connections" obj=join id=d8b7579063c0 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:33-0700 lvl=info msg="join connections" obj=join id=49a9508ded5f l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:17:58-0700 lvl=info msg="join connections" obj=join id=e23884f1a243 l=127.0.0.1:8080 r=128.138.64.27:63007
t=2024-11-12T16:19:21-0700 lvl=info msg="join connections" obj=join id=fde8d86b4a45 l=127.0.0.1:8080 r=140.82.115.162:65494
